Ph,K,P,N,Zn,S,CLOUD_AMT,PS,temperature_range,wind_chill,CLOUD0/1,temperature_humidity_ratio,precipitation,(WD10M + GWETTOP)/ WS2M_RANGE,label
5.4,231,4,0.1333,1,16,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,237,2,0.1333,1.1,7,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.4,251,2,0.1209,1.8,10,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.4,263,2,0.1209,1.4,11,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,172,2,0.250293402,1.4,8,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.3,584,3,0.3087,2.1,13,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.3,111,3,0.2279,0.7,12,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.3,80,9,0.2279,0.7,21,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,126,3,0.2279,0.9,11,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,202,3,0.2279,0.7,10,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,238,8,0.2279,0.9,15,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.3,147,2,0.2279,1,9,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6,83,7,0.0969,0.8,6,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.4,215,1,0.1209,1,8,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.1,172,6,0.253708879,0.6,19,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.1,448,8,0.19890058,2.3,22,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.2,403,3,0.183923547,1.8,17,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.7,117,9,0.164829547,0.8,20,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.4,100.79,2.8,0.1639,1.56,3.94,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.2,291,4,0.18,2.5,23,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.8,84.1,4.45,0.278033635,0.94,7.37,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.4,203,1,0.1639,0.8,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.2,217,2,0.18,1.4,11,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.7,52,4,0.1638,0.6,19,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.7,238,1,0.1638,1.2,14,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,114,4,0.009379812,1.5,12,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.4,167,1,0.153057985,1.4,9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.72,119,1,0.1639,0.6,17,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.6,159.04,2.08,0.1639,2.52,7.43,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.04,147,4,0.1639,2.8,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.69,266,2,0.1639,2.3,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,284.05,3.06,0.17,1.98,8.28,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.69,187,2,0.1639,0.7,9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.78,271,1,0.1639,1.2,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,208,2,0.17,0.9,9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.51,246,3,0.1639,1.6,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,183,3,0.17,1.1,21,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
7,312.09,13.78,0.252362008,2.21,2.63,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.7,628,4,0.252834987,2.6,15,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.37,222,3,0.1639,1.9,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,167.04,3.38,0.17,2.76,10.17,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5,417.13,2.67,0.254730978,1.93,12.14,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.37,168.49,2.69,0.1639,1.9,5.78,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,437,7,0.17,2.8,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,82.33,3.11,0.17,1.86,19.91,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,296,6,0.17,1.2,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,105,6,0.17,1.8,17,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,135,8,0.17,1.8,15,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.5,418,5,0.1419,1.1,6,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
4.99,220,1.23,0.18,0.8,20.1,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
4.77,306,5.6,0.22,1.61,21.4,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.33,444,10.9,0.16,1.36,9.41,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.1,196,3,0.2102,0.7,17,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.7,391,3,0.1198,1.4,6,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.22,188,0.84,0.19,1.04,13.4,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.24,109,0.92,0.14,0.8,18.3,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.23,299,1.45,0.17,0.82,13.8,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.24,186,2.75,0.17,0.74,6.93,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6.2,196,2,0.18,1,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.4,282,1,0.1639,0.9,17,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.2,285,2,0.18,0.7,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.47,612,7,0.18,2.1,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
4.8,163,2,0.1831,0.7,20,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.2,156,2,0.187,1.6,14,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.1,92,1,0.1291,0.7,22,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,138.83,6.67,0.17,1.45,8.36,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.78,210,3,0.1639,1.3,13,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
7,488,9,0.1727,1.5,9,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.69,76.34,2.62,0.1639,1.28,18.29,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,141,2,0.17,1.4,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,306,2,0.17,1.5,7,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.67,212,3,0.17,1.7,8,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,250,4,0.17,1.2,7,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,396,7,0.17,1.9,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.3,133,5,0.1166,1,4,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.6,225,3,0.250347819,1,18,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,157,8,0.17,2,16,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.67,209,12,0.17,2.2,18,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.6,151,3,0.0982,1.6,9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6,281,2,0.0969,2.1,5,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.5,168,2,0.1193,1,4,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.8,221,4,0.2267,1.3,6,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6.47,286,5.04,0.12,2.04,14.8,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6.3,134,2.2,0.2,1.48,8.66,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6.4,162,3,0.1371,1,4,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.4,99,5,0.1255,1.1,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.95,163,1.98,0.09,1.41,6.5,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.6,400,3,0.2336,1.8,6,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.7,175,1,0.235599614,0.5,21,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.3,111,9,0.0879,0.8,6,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6,181,3,0.1753,1.5,5,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6,138,2,0.18,2,5,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.6,165,4,0.2592,1.7,6,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.4,141,11,0.2219,1.7,10,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6.1,616,3,0.167037589,2.6,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6,266,7,0.18,1.5,18,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.6,215,2,0.2153,0.6,9,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.78,450,4,0.16,1.1,7,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.4,260,7,0.1255,0.9,9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,118,2,0.250293402,0.7,21,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.1,234,2,0.12,1,9,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.8,105,2,0.250293402,1.1,11,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,315,1,0.250293402,1.7,7,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
6.1,226,4,0.12,1.1,11,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
6.95,378,3,0.16,1,5,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.8,124,3,0.250293402,1.9,8,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,218,7,0.250293402,0.6,13,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,55,1,0.250293402,0.8,17,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,270,9,0.250293402,1.1,9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,250,5,0.250293402,1.9,8,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,345,11,0.250293402,1.2,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,214,4,0.250293402,1.1,9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.4,359,9,0.1255,1,11,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.4,265,13,0.1255,1,11,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.86,290,3,0.18,1.9,8,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.4,74,12,0.1255,1.8,16,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,164,8,0.250293402,0.7,8,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,250.75,3.53,0.250293402,1.68,5.9,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.8,430,14,0.250293402,2,10,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.3,186,8,0.2279,1.7,8,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.4,94,7,0.1255,1.6,19,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.98,440,8,0.18,1.5,7,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.98,238,14,0.18,1.3,6,59.11,76.54,15.875,-0.610965416,1,2.5997361480316346,5.371666666,14.236421725239616,Barley
5.3,299,8,0.2279,1.2,16,59.11,78.25,16.69666667,2.418854593090277,1,2.4269743667768147,7.538333334,12.806985294117647,Barley
5.75,213,6,0.16,1.4,8,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
6.5,412,3,0.16,0.9,5,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.98,465,8,0.18,2.8,8,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.98,172,4,0.18,1.4,6,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
6.58,268,10,0.16,1.7,12,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.09,165,2.9,0.253099197,1.8,19,59.11,78.58,16.29666667,13.715994206601174,1,2.3963661882878693,8.585833333250001,2.4834983498349836,Barley
5.56,167,1.6,0.19491006,2,11.4,59.11,78.58,16.29666667,13.715994206601174,1,2.3963661882878693,8.585833333250001,2.4834983498349836,Barley
5.98,156,10,0.18,1.8,8,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
7.1,191,4,0.069481704,1.5,9,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.3,208,3.4,0.209642879,0.9,17.5,59.11,78.58,16.29666667,13.715994206601174,1,2.3963661882878693,8.585833333250001,2.4834983498349836,Barley
6,282,4,0.16,1.5,5,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.3,337,11,0.2279,1.4,18,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.48,408,3,0.16,1.2,5,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.2,115,3,0.2802,1,12,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
6.63,265,2,0.134622792,1.1,7,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.3,170,4,0.2279,1.1,14,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.33,148,2,0.16,1.1,7,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.7,639,10,0.16,1.4,12,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.4,163,1,0.1543,0.9,7,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.8,267,13,0.250293402,2.1,11,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.54,421,5,0.16,2.5,22,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.4,137,1,0.1333,0.9,17,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,272,13,0.1333,2.3,8,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,159,10,0.1333,1.2,6,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.1,179,1,0.1106,0.5,20,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.8,86,4,0.250293402,1.6,7,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,486,3,0.1333,2,8,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,243,3,0.1333,1.7,11,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,178,2,0.1333,1,11,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,628,10,0.250293402,2.4,13,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,150,4,0.1333,0.8,6,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6,151,3,0.0969,1.1,11,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.72,190,3,0.2289,1.4,8,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.1,320,2,0.0808,1.7,12,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.1,434,6,0.1937,1.5,13,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,106,4,0.250293402,1,16,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.85,108,5,0.2289,1.3,6,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.4,288,5,0.1196,0.8,12,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.8,283,9,0.250293402,1.4,23,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,186,6,0.250293402,1.2,9,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.85,80.24,5.3,0.2289,0.77,5.83,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,295,3,0.250293402,1.1,5,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,137,1,0.250293402,1.5,5,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.4,429,7,0.1209,1.2,14,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.4,172,2,0.1209,1.2,9,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.4,126,4,0.1209,1,6,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.4,122,2,0.1209,1.4,7,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
6.11,481,14,0.06566235,0.8,7,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.85,268,3,0.2289,1.3,7,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,237.87,5.36,0.250293402,2.52,9.37,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,110.68,4.08,0.250293402,2.6,4.69,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.91,367,8,0.195910715,1.5,12,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.2,291,5,0.1815,1.5,8,59.11,77.15,15.388333334249998,0.8240508376439521,1,2.743633276780562,4.475833334,14.798668885191347,Barley
5.61,312,4,0.2289,1.8,8,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.85,141,6,0.2289,1.3,6,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.8,377,14,0.250293402,2.8,11,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.58,143,2,0.2289,1.7,8,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.45,128.64,6.62,0.2289,2.14,6.32,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
5.68,154,7,0.076819645,2,5,59.11,77.29,16.3,6.74050886705135,1,2.438446506666607,7.6450000007500005,6.807763401109058,Barley
